x,bias,model,N,d,width,F_model
3.8794,-1.9548,SRW,1024,13,6,-1.9735
4.8794,-1.9998,SRW,1024,13,6,-1.9933
5.8794,-2.0000,SRW,1024,13,6,-1.9983
6.8794,-2.0000,SRW,1024,13,6,-1.9996
7.8794,-2.0000,SRW,1024,13,6,-1.9999
8.8794,-2.0000,SRW,1024,13,6,-2.0000
9.8794,-2.0000,SRW,1024,13,6,-2.0000
10.8794,-2.0000,SRW,1024,13,6,-2.0000
11.8794,-2.0000,SRW,1024,13,6,-2.0000
-0.0689,-0.6841,SRW,1024,14,4,-0.9861
0.9311,-1.2515,SRW,1024,14,4,-1.5042
1.9311,-1.6386,SRW,1024,14,4,-1.8383
2.9311,-1.9099,SRW,1024,14,4,-1.9568
3.9311,-2.0000,SRW,1024,14,4,-1.9890
4.9311,-2.0000,SRW,1024,14,4,-1.9972
5.9311,-2.0000,SRW,1024,14,4,-1.9993
6.9311,-2.0000,SRW,1024,14,4,-1.9998
7.9311,-2.0000,SRW,1024,14,4,-2.0000
8.9311,-2.0000,SRW,1024,14,4,-2.0000
9.9311,-2.0000,SRW,1024,14,4,-2.0000
10.9311,-2.0000,SRW,1024,14,4,-2.0000
11.9311,-2.0000,SRW,1024,14,4,-2.0000
12.9311,-2.0000,SRW,1024,14,4,-2.0000
0.4311,-0.9534,SRW,1024,14,5,-1.2151
1.4311,-1.4299,SRW,1024,14,5,-1.6277
2.4311,-1.7354,SRW,1024,14,5,-1.8797
3.4311,-1.9356,SRW,1024,14,5,-1.9679
4.4311,-2.0000,SRW,1024,14,5,-1.9919
5.4311,-2.0000,SRW,1024,14,5,-1.9980
6.4311,-2.0000,SRW,1024,14,5,-1.9995
7.4311,-2.0000,SRW,1024,14,5,-1.9999
8.4311,-2.0000,SRW,1024,14,5,-2.0000
9.4311,-2.0000,SRW,1024,14,5,-2.0000
10.4311,-2.0000,SRW,1024,14,5,-2.0000
11.4311,-2.0000,SRW,1024,14,5,-2.0000
12.4311,-2.0000,SRW,1024,14,5,-2.0000
